GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMRIE001,AMRIE002,AMRIE003,AMRIE004,AMRIE005,AMRIE006,AMRIE007,AMRIE008,AMRIE009,AMRIE010,AMRIE011,AMRIE012,AMRIE013,AMRIE014,AMRIE015,AMRIE016,AMRIE017,NAME_M,AMRIM001,AMRIM002,AMRIM003,AMRIM004,AMRIM005,AMRIM006,AMRIM007,AMRIM008,AMRIM009,AMRIM010,AMRIM011,AMRIM012,AMRIM013,AMRIM014,AMRIM015,AMRIM016,AMRIM017
"G0100010","2016-2020","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",21559,11281,4542,6739,782,232,550,6178,3346,1256,1475,101,3318,2319,352,427,220,"Autauga County, Alabama",366,552,359,471,227,145,174,494,452,252,262,57,438,306,168,204,112
"G0100030","2016-2020","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",84047,46277,15204,31073,3366,940,2426,21425,13835,2633,4123,834,12979,10577,684,1279,439,"Baldwin County, Alabama",1143,1550,942,1244,613,298,519,1196,965,500,661,281,1008,966,222,338,168
"G0100050","2016-2020","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",9322,3613,1156,2457,436,196,240,3672,1876,947,824,25,1601,1180,82,300,39,"Barbour County, Alabama",338,305,243,234,157,102,132,247,198,209,143,22,229,206,59,130,32
"G0100070","2016-2020","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",7259,3597,1225,2372,144,64,80,2050,856,672,517,5,1468,1026,118,306,18,"Bibb County, Alabama",299,382,217,268,70,49,59,303,201,238,169,8,213,188,84,123,32
"G0100090","2016-2020","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",21205,12053,4519,7534,677,334,343,4903,2787,1059,814,243,3572,2699,254,466,153,"Blount County, Alabama",430,675,407,496,260,187,156,536,364,241,206,118,431,371,105,124,79
"G0100110","2016-2020","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",3429,1187,344,843,23,0,23,1471,695,348,401,27,748,520,151,71,6,"Bullock County, Alabama",195,244,149,158,26,19,26,241,202,162,129,43,176,162,118,59,12
"G0100130","2016-2020","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",6649,3297,921,2376,210,93,117,2395,1356,475,511,53,747,567,25,135,20,"Butler County, Alabama",282,249,173,228,98,69,66,234,182,149,115,38,139,114,31,85,15
"G0100150","2016-2020","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",44572,20680,7097,13583,2928,1029,1899,13475,7266,2488,3183,538,7489,5640,484,920,445,"Calhoun County, Alabama",642,734,604,582,474,269,431,614,577,335,437,178,649,536,195,219,159
"G0100170","2016-2020","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",13582,5961,1783,4178,1014,368,646,4058,2119,670,1228,41,2549,1619,225,612,93,"Chambers County, Alabama",418,472,277,313,270,134,216,400,302,182,248,35,379,278,161,194,53
"G0100190","2016-2020","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",10836,6096,1990,4106,488,105,383,2221,1377,252,542,50,2031,1607,133,240,51,"Cherokee County, Alabama",476,520,316,318,176,76,146,274,237,106,153,42,325,316,76,108,54
"G0100210","2016-2020","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",17140,8700,2975,5725,1160,522,638,4428,2217,982,1093,136,2852,2111,111,497,133,"Chilton County, Alabama",358,463,378,389,383,283,267,439,294,302,235,120,387,396,68,210,102
"G0100230","2016-2020","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",5330,2296,640,1656,110,16,94,1819,865,354,564,36,1105,882,73,150,0,"Choctaw County, Alabama",255,303,144,238,60,17,58,212,166,108,122,28,218,193,70,84,19
"G0100250","2016-2020","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",9323,4010,1442,2568,238,76,162,2892,1632,537,720,3,2183,1673,219,277,14,"Clarke County, Alabama",439,390,274,257,95,54,80,389,318,152,186,7,295,276,124,89,17
"G0100270","2016-2020","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",5153,2744,943,1801,146,48,98,1433,748,373,312,0,830,576,108,93,53,"Clay County, Alabama",269,244,162,212,79,51,63,219,149,139,116,19,171,139,87,64,55
"G0100290","2016-2020","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",5835,3055,1049,2006,223,56,167,1855,1252,205,371,27,702,590,15,88,9,"Cleburne County, Alabama",194,220,151,193,82,30,81,217,195,94,132,28,150,141,23,43,12
"G0100310","2016-2020","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",19951,10024,3615,6409,921,340,581,5433,2771,1531,1025,106,3573,2799,254,366,154,"Coffee County, Alabama",457,508,313,360,210,137,180,461,318,284,174,58,341,339,113,101,68
"G0100330","2016-2020","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",21797,10547,3322,7225,1221,306,915,6614,3891,1200,1412,111,3415,2533,126,529,227,"Colbert County, Alabama",514,593,408,465,324,163,310,538,392,262,278,69,393,301,80,190,128
"G0100350","2016-2020","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",4585,1885,387,1498,234,47,187,1560,763,276,507,14,906,743,37,103,23,"Conecuh County, Alabama",297,261,123,217,164,46,156,185,176,132,149,21,197,190,44,83,26
"G0100370","2016-2020","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",4016,1993,460,1533,185,81,104,992,550,126,280,36,846,721,22,89,14,"Coosa County, Alabama",203,222,138,197,120,73,97,173,161,91,103,40,193,185,33,47,16
"G0100390","2016-2020","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",14995,7146,2291,4855,584,213,371,4686,2730,887,916,153,2579,1916,88,452,123,"Covington County, Alabama",400,425,263,359,145,90,112,391,261,211,193,92,322,295,49,107,56
"G0100410","2016-2020","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",5011,2419,766,1653,130,39,91,1460,815,292,321,32,1002,665,34,221,82,"Crenshaw County, Alabama",209,186,126,153,48,25,44,163,143,92,76,24,172,166,31,66,54
"G0100430","2016-2020","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",31733,17098,6062,11036,1156,417,739,7804,4681,1269,1684,170,5675,3929,544,810,392,"Cullman County, Alabama",507,764,432,606,243,132,189,665,486,305,299,107,572,522,167,178,184
"G0100450","2016-2020","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",19405,8666,2993,5673,944,395,549,6250,3222,1225,1680,123,3545,2756,287,267,235,"Dale County, Alabama",433,528,321,420,202,140,121,464,328,273,240,88,363,372,104,98,103
"G0100470","2016-2020","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",15409,5053,1199,3854,589,235,354,6752,3677,1382,1574,119,3015,2223,140,595,57,"Dallas County, Alabama",422,430,192,420,198,127,148,480,518,212,268,103,354,315,91,188,36
"G0100490","2016-2020","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",26365,15153,5792,9361,1015,534,481,6162,3274,1201,1543,144,4035,3155,300,523,57,"DeKalb County, Alabama",479,657,481,466,172,133,160,445,329,268,318,100,441,394,113,157,39
"G0100510","2016-2020","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",29794,16351,6273,10078,967,478,489,8208,4436,1623,2003,146,4268,2932,243,924,169,"Elmore County, Alabama",557,842,621,651,277,191,173,729,661,404,359,92,513,405,97,273,85
"G0100530","2016-2020","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",12931,5574,1651,3923,533,148,385,4540,2802,911,758,69,2284,1902,42,238,102,"Escambia County, Alabama",629,432,270,358,173,132,118,390,363,215,165,64,419,369,33,97,84
"G0100550","2016-2020","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",38765,18082,6039,12043,1441,711,730,12823,6986,2555,2978,304,6419,4964,338,631,486,"Etowah County, Alabama",578,751,533,638,332,294,180,687,532,326,384,141,438,448,117,164,168
"G0100570","2016-2020","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",6805,3747,1197,2550,204,94,110,1730,1032,252,380,66,1124,828,98,145,53,"Fayette County, Alabama",271,284,202,252,86,56,68,199,152,112,102,64,206,186,65,68,45
"G0100590","2016-2020","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",11017,5406,1832,3574,610,154,456,3059,1642,628,777,12,1942,1459,129,320,34,"Franklin County, Alabama",380,466,255,392,196,84,175,341,276,204,216,14,317,276,83,142,32
"G0100610","2016-2020","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",10572,5817,1860,3957,400,165,235,2462,1470,443,443,106,1893,1423,121,211,138,"Geneva County, Alabama",378,442,251,372,121,85,90,280,231,131,117,88,252,233,106,78,98
"G0100630","2016-2020","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",3178,1010,114,896,100,17,83,1160,768,124,268,0,908,778,30,96,4,"Greene County, Alabama",229,229,70,211,60,21,59,161,162,83,122,17,221,208,47,65,10
"G0100650","2016-2020","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",5490,2186,559,1627,278,70,208,1995,1016,292,681,6,1031,909,25,82,15,"Hale County, Alabama",292,271,135,238,178,58,172,228,191,125,187,9,209,204,30,51,14
"G0100670","2016-2020","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",6556,3541,959,2582,204,74,130,1802,1110,288,398,6,1009,772,28,146,63,"Henry County, Alabama",285,305,182,257,61,39,53,204,167,99,126,9,187,169,22,68,75
"G0100690","2016-2020","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",39784,18649,6426,12223,1898,815,1083,12652,7130,2643,2626,253,6585,4985,458,872,270,"Houston County, Alabama",366,518,332,409,186,145,126,396,320,241,186,56,373,308,91,140,62
"G0100710","2016-2020","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",20367,10958,3479,7479,706,398,308,5566,3261,970,1311,24,3137,2405,160,537,35,"Jackson County, Alabama",519,636,400,521,222,190,104,445,373,227,266,25,334,329,87,153,29
"G0100730","2016-2020","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",263801,109712,40804,68908,12454,3867,8587,92970,50383,18660,20813,3114,48665,35950,2382,6381,3952,"Jefferson County, Alabama",1463,2082,1338,1595,1159,723,870,1891,1789,1021,1222,460,1409,1380,441,609,472
"G0100750","2016-2020","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",5631,2946,1027,1919,168,34,134,1587,902,278,320,87,930,777,24,12,117,"Lamar County, Alabama",266,286,146,252,115,29,110,188,161,111,111,107,201,174,21,12,116
"G0100770","2016-2020","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",38513,18394,6566,11828,1695,324,1371,11527,6789,1814,2393,531,6897,4951,360,930,656,"Lauderdale County, Alabama",524,771,488,616,339,157,297,675,496,336,506,211,556,469,137,322,220
"G0100790","2016-2020","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",12551,7040,1863,5177,396,271,125,3137,1926,378,802,31,1978,1562,192,167,57,"Lawrence County, Alabama",349,446,272,450,155,143,75,403,347,127,210,31,271,251,96,93,71
"G0100810","2016-2020","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",60731,28110,11293,16817,2694,612,2082,17411,8578,3434,3845,1554,12516,8902,491,919,2204,"Lee County, Alabama",889,1097,750,901,565,223,525,763,617,574,521,294,703,741,168,228,315
"G0100830","2016-2020","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",32725,18194,6919,11275,1488,511,977,8121,4795,1434,1763,129,4922,3697,427,480,318,"Limestone County, Alabama",538,820,571,575,380,228,314,608,572,312,331,76,511,453,167,212,151
"G0100850","2016-2020","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",4213,1332,315,1017,211,124,87,1902,723,591,565,23,768,610,33,115,10,"Lowndes County, Alabama",229,156,98,157,84,69,48,183,134,144,134,30,128,107,34,59,17
"G0100870","2016-2020","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",7592,2652,530,2122,461,130,331,2876,1475,580,750,71,1603,1223,68,198,114,"Macon County, Alabama",288,291,124,245,152,76,139,251,211,153,129,41,193,172,49,87,66
"G0100890","2016-2020","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",151628,71953,26294,45659,6498,1822,4676,45163,26247,9470,7989,1457,28014,20764,1823,2970,2457,"Madison County, Alabama",957,1787,1098,1574,865,378,762,1587,1208,945,781,328,1073,982,391,451,421
"G0100910","2016-2020","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",7499,2546,796,1750,144,52,92,2961,1937,492,497,35,1848,1631,46,153,18,"Marengo County, Alabama",305,327,214,241,78,36,77,320,276,197,170,50,246,250,42,101,17
"G0100930","2016-2020","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",11780,5846,2173,3673,251,113,138,3319,2046,399,756,118,2364,1852,171,266,75,"Marion County, Alabama",412,412,236,411,119,70,102,298,257,123,219,57,333,297,107,118,57
"G0100950","2016-2020","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",35115,18854,6870,11984,1716,653,1063,8839,5077,1966,1492,304,5706,3951,569,779,407,"Marshall County, Alabama",536,660,502,517,330,212,251,542,414,240,217,169,493,431,245,189,156
"G0100970","2016-2020","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",157557,70697,25520,45177,7280,2970,4310,51584,27072,10804,12226,1482,27996,21095,1573,3725,1603,"Mobile County, Alabama",1279,1844,1416,1308,742,567,504,1374,1056,781,699,268,1107,917,352,483,284
"G0100990","2016-2020","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",8050,3428,685,2743,227,98,129,2901,1640,532,667,62,1494,1207,46,129,112,"Monroe County, Alabama",422,334,167,321,106,70,74,285,260,191,171,52,245,213,61,63,108
"G0101010","2016-2020","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",89511,32577,12071,20506,4737,2028,2709,35223,18466,8452,7460,845,16974,12402,1019,2349,1204,"Montgomery County, Alabama",971,1379,737,1026,763,557,529,1302,961,838,598,231,894,854,290,384,285
"G0101030","2016-2020","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",46388,23476,7854,15622,2558,893,1665,12290,7276,2294,2509,211,8064,6444,464,719,437,"Morgan County, Alabama",695,847,499,703,513,360,385,677,466,404,399,146,646,669,160,229,176
"G0101050","2016-2020","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",3140,716,116,600,81,56,25,1591,951,215,425,0,752,663,0,89,0,"Perry County, Alabama",252,228,80,199,82,72,28,225,178,152,186,17,209,214,17,88,17
"G0101070","2016-2020","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",7731,3425,967,2458,332,104,228,2440,1138,568,721,13,1534,1081,67,348,38,"Pickens County, Alabama",311,261,184,211,143,77,121,231,169,145,174,21,214,193,44,144,38
"G0101090","2016-2020","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",11700,4258,1239,3019,708,106,602,3931,2050,773,823,285,2803,2317,86,163,237,"Pike County, Alabama",560,392,220,280,253,57,240,341,316,183,202,139,391,379,51,64,123
"G0101110","2016-2020","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",8655,4458,1399,3059,410,289,121,2350,1252,500,598,0,1437,1120,38,217,62,"Randolph County, Alabama",330,315,218,235,160,151,70,280,226,130,169,23,201,198,23,91,65
"G0101130","2016-2020","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",23694,10090,3386,6704,960,387,573,8355,4754,2105,1373,123,4289,3156,348,622,163,"Russell County, Alabama",494,706,468,560,325,185,240,591,481,387,296,75,474,423,172,216,98
"G0101150","2016-2020","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",32765,18891,7072,11819,1642,743,899,7108,3853,1242,1873,140,5124,3892,404,610,218,"St. Clair County, Alabama",584,812,517,707,432,297,261,651,477,309,381,84,494,460,169,202,123
"G0101170","2016-2020","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",80756,47722,19556,28166,2816,718,2098,19462,12151,3152,3605,554,10756,8026,628,1267,835,"Shelby County, Alabama",685,1276,842,1040,542,257,454,1055,871,487,474,188,816,731,187,227,249
"G0101190","2016-2020","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",5355,1722,484,1238,230,107,123,2189,1053,472,575,89,1214,898,3,133,180,"Sumter County, Alabama",229,241,130,220,88,46,72,199,186,120,128,70,206,192,7,105,135
"G0101210","2016-2020","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",31741,14072,4534,9538,1933,892,1041,9891,5002,2395,2216,278,5845,4384,277,834,350,"Talladega County, Alabama",558,760,497,626,385,262,286,633,540,360,280,121,655,529,111,243,151
"G0101230","2016-2020","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",16359,7646,1960,5686,617,227,390,5285,2861,1243,1133,48,2811,1963,308,426,114,"Tallapoosa County, Alabama",523,492,288,355,202,122,158,406,279,307,172,41,422,334,160,167,101
"G0101250","2016-2020","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",74713,34456,13535,20921,2860,680,2180,22947,11430,5639,4617,1261,14450,10114,786,1603,1947,"Tuscaloosa County, Alabama",808,1013,878,939,469,185,438,1068,845,588,530,263,913,783,212,320,317
"G0101270","2016-2020","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",25440,12928,4050,8878,859,412,447,7083,3944,1159,1759,221,4570,2775,282,922,591,"Walker County, Alabama",444,681,392,569,199,187,117,476,378,270,252,108,405,352,118,262,215
"G0101290","2016-2020","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",5830,3232,928,2304,149,23,126,1485,861,288,334,2,964,691,52,211,10,"Washington County, Alabama",318,289,155,251,88,32,88,191,168,140,126,6,207,184,75,125,16
"G0101310","2016-2020","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",3961,1348,295,1053,184,26,158,1630,642,352,635,1,799,561,35,162,41,"Wilcox County, Alabama",214,172,86,168,77,23,74,204,132,99,135,2,165,164,41,79,34
"G0101330","2016-2020","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",9612,5075,1360,3715,354,156,198,2313,1371,483,407,52,1870,1385,159,229,97,"Winston County, Alabama",329,308,205,299,123,88,88,248,194,149,106,42,248,231,101,116,87
"G0200130","2016-2020","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",988,408,119,289,116,38,78,216,124,57,29,6,248,196,16,33,3,"Aleutians East Borough, Alaska",143,82,28,71,32,19,21,62,53,21,11,8,42,39,9,14,3
"G0200160","2016-2020","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",1306,596,317,279,120,48,72,189,103,38,33,15,401,318,25,19,39,"Aleutians West Census Area, Alaska",199,99,73,66,44,23,28,32,29,16,12,9,101,77,13,19,14
"G0200200","2016-2020","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020",,,"Anchorage Municipality, Alaska",106970,52616,24005,28611,8589,2779,5810,24994,14146,4507,4975,1366,20771,13562,1817,2319,3073,"Anchorage Municipality, Alaska",777,1379,1016,1080,857,489,701,1013,936,535,536,277,888,861,366,375,423
"G0200500","2016-2020","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050",,,"Bethel Census Area, Alaska",4499,1988,1152,836,437,216,221,1122,351,280,460,31,952,547,113,237,55,"Bethel Census Area, Alaska",160,170,133,115,89,55,64,122,92,80,76,24,112,98,54,60,27
"G0200600","2016-2020","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060",,,"Bristol Bay Borough, Alaska",284,142,51,91,34,11,23,43,26,8,9,0,65,53,0,7,5,"Bristol Bay Borough, Alaska",51,31,15,27,14,8,10,17,13,6,7,10,26,22,10,5,8
"G0200630","2016-2020","AK",,,"Alaska","02","Chugach Census Area","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02063",,,"Chugach Census Area, Alaska",2310,1402,568,834,161,62,99,289,220,30,34,5,458,399,38,11,10,"Chugach Census Area, Alaska",162,147,122,151,69,49,60,109,94,41,30,9,130,115,40,13,10
"G0200660","2016-2020","AK",,,"Alaska","02","Copper River Census Area","066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02066",,,"Copper River Census Area, Alaska",1063,588,281,307,91,8,83,200,130,51,12,7,184,136,19,27,2,"Copper River Census Area, Alaska",125,96,63,82,53,9,51,71,61,26,11,8,59,56,16,16,4
"G0200680","2016-2020","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068",,,"Denali Borough, Alaska",726,295,107,188,51,2,49,119,86,4,21,8,261,244,11,0,6,"Denali Borough, Alaska",336,161,75,104,31,3,32,83,62,5,22,12,116,111,10,10,8
"G0200700","2016-2020","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070",,,"Dillingham Census Area, Alaska",1430,563,295,268,153,98,55,382,113,121,140,8,332,196,62,65,9,"Dillingham Census Area, Alaska",89,76,53,49,34,25,24,60,35,36,47,7,46,40,20,19,8
