GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMRIE001,AMRIE002,AMRIE003,AMRIE004,AMRIE005,AMRIE006,AMRIE007,AMRIE008,AMRIE009,AMRIE010,AMRIE011,AMRIE012,AMRIE013,AMRIE014,AMRIE015,AMRIE016,AMRIE017,NAME_M,AMRIM001,AMRIM002,AMRIM003,AMRIM004,AMRIM005,AMRIM006,AMRIM007,AMRIM008,AMRIM009,AMRIM010,AMRIM011,AMRIM012,AMRIM013,AMRIM014,AMRIM015,AMRIM016,AMRIM017
"G0800210","2016-2020","CO",,,"Colorado","08","Conejos County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08021",,,"Conejos County, Colorado",3222,1330,459,871,99,51,48,886,648,130,108,0,907,817,29,56,5,"Conejos County, Colorado",133,126,93,96,39,30,25,97,97,49,32,17,93,98,24,32,5
"G0800230","2016-2020","CO",,,"Colorado","08","Costilla County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08023",,,"Costilla County, Colorado",1620,669,146,523,45,0,45,451,214,111,112,14,455,341,41,44,29,"Costilla County, Colorado",119,88,49,80,37,12,37,71,60,61,40,15,74,72,32,31,27
"G0800250","2016-2020","CO",,,"Colorado","08","Crowley County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08025",,,"Crowley County, Colorado",1421,671,281,390,39,20,19,357,243,46,64,4,354,272,65,17,0,"Crowley County, Colorado",198,122,98,68,22,19,12,67,50,30,32,5,125,96,75,12,17
"G0800270","2016-2020","CO",,,"Colorado","08","Custer County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08027",,,"Custer County, Colorado",2310,1461,148,1313,30,3,27,398,259,19,16,104,421,376,5,11,29,"Custer County, Colorado",224,213,94,259,27,7,26,150,97,20,20,102,148,139,7,17,39
"G0800290","2016-2020","CO",,,"Colorado","08","Delta County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08029",,,"Delta County, Colorado",12277,6262,1838,4424,479,127,352,3161,2120,294,634,113,2375,1556,213,361,245,"Delta County, Colorado",328,366,186,309,152,78,128,319,266,96,200,61,261,241,106,151,110
"G0800310","2016-2020","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08031",,,"Denver County, Colorado",287756,100931,43492,57439,26508,3556,22952,87201,56586,11855,11262,7498,73116,54038,3846,5872,9360,"Denver County, Colorado",1205,1801,1209,1530,1110,520,1044,1472,1479,926,810,710,1648,1517,534,676,736
"G0800330","2016-2020","CO",,,"Colorado","08","Dolores County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08033",,,"Dolores County, Colorado",930,464,88,376,10,10,0,178,123,6,49,0,278,227,21,15,15,"Dolores County, Colorado",154,116,51,117,13,13,12,63,54,8,36,12,122,112,27,17,17
"G0800350","2016-2020","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08035",,,"Douglas County, Colorado",121492,80505,39368,41137,5730,1503,4227,20949,13198,3769,3127,855,14308,9401,2010,1676,1221,"Douglas County, Colorado",589,1240,948,1009,592,350,491,828,741,451,415,245,892,781,323,325,299
"G0800370","2016-2020","CO",,,"Colorado","08","Eagle County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08037",,,"Eagle County, Colorado",18667,10184,4442,5742,1244,252,992,3563,2104,693,357,409,3676,2489,195,225,767,"Eagle County, Colorado",549,654,541,568,298,143,234,459,400,219,180,151,460,416,125,102,245
"G0800390","2016-2020","CO",,,"Colorado","08","Elbert County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08039",,,"Elbert County, Colorado",8816,6054,1811,4243,602,267,335,1180,674,127,285,94,980,661,92,187,40,"Elbert County, Colorado",133,275,201,227,209,158,132,150,127,60,87,52,169,157,64,85,25
"G0800410","2016-2020","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08041",,,"El Paso County, Colorado",262780,141405,59777,81628,15562,4374,11188,61404,35300,12063,10471,3570,44409,29792,4162,4944,5511,"El Paso County, Colorado",1215,2037,1539,1825,1082,588,913,1506,1273,854,711,535,1331,1291,624,593,774
"G0800430","2016-2020","CO",,,"Colorado","08","Fremont County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08043",,,"Fremont County, Colorado",17449,9267,2504,6763,960,221,739,4206,2705,602,715,184,3016,2108,197,404,307,"Fremont County, Colorado",600,432,312,354,198,134,164,362,345,183,159,114,406,286,136,195,124
"G0800450","2016-2020","CO",,,"Colorado","08","Garfield County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08045",,,"Garfield County, Colorado",21586,12723,5584,7139,1071,213,858,4544,2461,832,908,343,3248,2033,359,357,499,"Garfield County, Colorado",354,579,449,489,241,104,218,482,357,234,207,119,390,338,163,137,168
"G0800470","2016-2020","CO",,,"Colorado","08","Gilpin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08047",,,"Gilpin County, Colorado",2860,1401,355,1046,184,17,167,647,389,62,136,60,628,541,12,37,38,"Gilpin County, Colorado",227,222,147,203,77,28,73,161,133,40,119,72,224,215,20,53,40
"G0800490","2016-2020","CO",,,"Colorado","08","Grand County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08049",,,"Grand County, Colorado",6315,3254,738,2516,299,66,233,1253,864,121,172,96,1509,1217,32,89,171,"Grand County, Colorado",451,404,155,338,149,48,134,268,225,97,77,64,265,259,31,60,116
"G0800510","2016-2020","CO",,,"Colorado","08","Gunnison County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08051",,,"Gunnison County, Colorado",6824,2967,1131,1836,480,125,355,1250,768,165,97,220,2127,1559,58,107,403,"Gunnison County, Colorado",387,313,185,221,134,66,125,226,193,83,54,92,307,267,41,75,145
"G0800530","2016-2020","CO",,,"Colorado","08","Hinsdale County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08053",,,"Hinsdale County, Colorado",376,180,25,155,3,0,3,136,82,41,8,5,57,45,0,2,10,"Hinsdale County, Colorado",74,35,12,33,4,12,4,63,43,46,11,6,20,17,12,3,12
"G0800550","2016-2020","CO",,,"Colorado","08","Huerfano County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08055",,,"Huerfano County, Colorado",3057,1492,265,1227,73,7,66,906,662,137,98,9,586,453,5,87,41,"Huerfano County, Colorado",249,239,91,214,51,18,52,148,129,96,58,14,157,146,10,67,44
"G0800570","2016-2020","CO",,,"Colorado","08","Jackson County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08057",,,"Jackson County, Colorado",635,344,88,256,18,8,10,95,74,0,17,4,178,139,9,18,12,"Jackson County, Colorado",95,77,45,82,18,13,12,41,38,12,18,6,81,79,11,20,15
"G0800590","2016-2020","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08059",,,"Jefferson County, Colorado",229007,117844,43978,73866,14990,3267,11723,54316,33889,7073,10063,3291,41857,28480,3575,4675,5127,"Jefferson County, Colorado",821,1569,1048,1377,891,484,765,1176,944,828,632,415,1225,1077,490,487,505
"G0800610","2016-2020","CO",,,"Colorado","08","Kiowa County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08061",,,"Kiowa County, Colorado",615,313,102,211,78,22,56,148,110,13,24,1,76,68,8,0,0,"Kiowa County, Colorado",85,61,28,60,45,32,34,39,34,11,15,4,34,31,12,12,12
"G0800630","2016-2020","CO",,,"Colorado","08","Kit Carson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08063",,,"Kit Carson County, Colorado",3020,1574,695,879,176,83,93,673,519,90,54,10,597,499,61,31,6,"Kit Carson County, Colorado",154,162,133,91,68,47,56,122,113,51,36,7,117,102,47,26,4
"G0800650","2016-2020","CO",,,"Colorado","08","Lake County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08065",,,"Lake County, Colorado",3275,1233,460,773,228,36,192,829,548,128,122,31,985,631,21,88,245,"Lake County, Colorado",306,217,154,195,131,38,128,229,199,82,100,32,268,228,38,96,142
"G0800670","2016-2020","CO",,,"Colorado","08","La Plata County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08067",,,"La Plata County, Colorado",21370,11116,3934,7182,925,236,689,4998,3289,681,707,321,4331,3334,258,254,485,"La Plata County, Colorado",524,610,378,496,194,132,134,451,401,157,159,112,363,371,101,99,146
"G0800690","2016-2020","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08069",,,"Larimer County, Colorado",134185,69108,24802,44306,10751,2452,8299,30805,18692,3783,4009,4321,23521,14311,1881,2243,5086,"Larimer County, Colorado",789,1241,915,1073,909,615,741,1080,858,521,450,518,990,954,339,377,426
